Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Abdominal pain",Teen,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Acne, Irregular periods, Weight gain",Teen,Any,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Flu,Common Illnesses,"Body aches, Sore throat, Cough",Teen,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss",Elderly,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Abdominal pain, Nausea",Child,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Poor judgment",Adult,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting, Loss of appetite",Elderly,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Confusion",Teen,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Swelling, Itchy skin",Child,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Nausea, Shortness of breath",Elderly,Male,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Heart Attack,Emergency Care,"Chest pain, Sweating, Nausea, Shortness of breath",Child,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Confusion, Mood swings",Adult,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Mood swings",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Blurred vision",Adult,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Numbness, Vision problems",Child,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath, Cough",Adult,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Red patches, Dryness, Itchy skin",Child,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Frequent urination, Fatigue, Increased thirst, Blurred vision",Elderly,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Trouble walking, Numbness",Elderly,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Chills, Sore throat, Body aches, Cough",Teen,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Teen,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Body aches, Fever, Sore throat, Cough",Teen,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings",Adult,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems",Elderly,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Fever, Cough, Chills, Sore throat",Elderly,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Asthma,Chronic Illness,"Chest tightness, Cough",Child,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea, Loss of appetite",Elderly,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Weight loss",Elderly,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst, Frequent urination",Child,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Dryness, Red patches",Teen,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
PCOS,Chronic Disorder,"Weight gain, Hair thinning, Acne",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain",Child,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems, Trouble walking",Elderly,Any,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Mood swings, Memory loss",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Weight gain, Acne",Child,Any,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Abdominal pain",Teen,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Trouble walking",Child,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough, Fatigue",Adult,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Sore throat, Cough",Teen,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Acne",Elderly,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Eczema,Dermatological,"Dryness, Red patches",Adult,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Teen,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Wheezing, Cough",Elderly,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Chest pain",Adult,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness, Cough",Teen,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Memory loss, Mood swings",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion, Vision problems",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Fatigue, Cough",Adult,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Sweating",Teen,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Adult,Any,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Dryness, Swelling, Red patches, Itchy skin",Child,Any,Severe,Dermatologist,Consultation and standard treatment protocols
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Vision problems",Elderly,Any,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Dryness, Red patches, Swelling",Teen,Any,Severe,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting",Elderly,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Cough, Wheezing",Adult,Female,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Weight loss, Cough",Elderly,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Fatigue, Cough, Night sweats, Weight loss",Adult,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion, Numbness",Child,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough",Teen,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination",Teen,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Chest tightness, Cough",Adult,Female,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Blurred vision, Frequent urination, Increased thirst, Fatigue",Teen,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Dryness, Red patches, Itchy skin, Swelling",Adult,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Cough, Night sweats, Fatigue, Weight loss",Child,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Vision problems",Elderly,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Child,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness, Cough",Child,Female,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Frequent urination, Blurred vision",Adult,Female,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Chest pain, Sweating, Shortness of breath, Nausea",Adult,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
PCOS,Chronic Disorder,"Hair thinning, Acne",Teen,Female,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
PCOS,Chronic Disorder,"Acne, Hair thinning",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Numbness",Elderly,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea, Loss of appetite",Teen,Male,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Chills, Fever, Sore throat, Body aches",Child,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Eczema,Dermatological,"Swelling, Itchy skin, Dryness",Adult,Male,Mild,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Chest pain, Nausea",Teen,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems",Elderly,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness, Confusion, Trouble walking",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Chest pain, Nausea, Sweating",Teen,Any,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion",Child,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Poor judgment",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Irregular periods, Weight gain",Child,Female,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Poor judgment, Confusion",Teen,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Weight loss, Fatigue",Teen,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Elderly,Male,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Sore throat, Cough",Elderly,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Mood swings, Confusion",Teen,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough",Child,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite",Adult,Female,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain, Shortness of breath",Child,Any,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Memory loss",Teen,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Swelling, Red patches, Itchy skin",Adult,Female,Severe,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Cough, Fever, Body aches, Chills",Elderly,Female,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Fatigue, Blurred vision",Adult,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain",Teen,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Fever, Cough, Chills",Teen,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Flu,Common Illnesses,"Cough, Sore throat, Body aches",Child,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue",Elderly,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Nausea",Elderly,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Sweating, Chest pain, Shortness of breath",Adult,Male,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Adult,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Body aches, Cough",Child,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Teen,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning, Irregular periods",Adult,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Cough, Wheezing",Teen,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Acne",Teen,Female,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination",Child,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Cough, Chest tightness",Adult,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Cough, Chest tightness, Wheezing, Shortness of breath",Child,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Dryness, Red patches, Swelling",Adult,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain, Acne",Teen,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Teen,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Teen,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Mood swings",Child,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Acne, Weight gain",Child,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain, Loss of appetite, Vomiting",Teen,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Poor judgment, Memory loss",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination, Increased thirst",Teen,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Appendicitis,Surgical Conditions,"Nausea, Vomiting",Child,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Cough, Body aches, Sore throat, Fever",Teen,Female,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings",Elderly,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness, Trouble walking",Teen,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Loss of appetite",Teen,Female,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Trouble walking, Vision problems",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Shortness of breath, Chest tightness",Child,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Elderly,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Flu,Common Illnesses,"Body aches, Cough, Fever",Adult,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion",Child,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Frequent urination, Fatigue, Blurred vision",Teen,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough, Chest tightness",Teen,Female,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea, Loss of appetite",Child,Male,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Frequent urination, Blurred vision",Teen,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea",Adult,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Sore throat, Body aches, Cough, Chills",Adult,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Chest pain, Nausea",Adult,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Abdominal pain",Adult,Male,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Frequent urination, Increased thirst",Elderly,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Tuberculosis,Rare Diseases,"Weight loss, Cough, Night sweats",Elderly,Female,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination",Teen,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Cough, Night sweats",Teen,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Child,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath, Sweating",Child,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Night sweats, Cough",Child,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Teen,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Fever, Sore throat, Cough",Adult,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite",Elderly,Female,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
