Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist
Eczema,Dermatological,"Swelling, Dryness",Child,Male,Severe,Dermatologist
Tuberculosis,Rare Diseases,"Weight loss, Cough",Child,Female,Mild,Infectious Disease Specialist
PCOS,Chronic Disorder,"Irregular periods, Acne",Elderly,Female,Moderate,Gynecologist
Flu,Common Illnesses,"Cough, Chills, Body aches",Adult,Male,Severe,General Physician
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness, Wheezing",Adult,Female,Severe,Pulmonologist
Flu,Common Illnesses,"Cough, Chills, Body aches",Teen,Any,Moderate,General Physician
Flu,Common Illnesses,"Sore throat, Fever, Chills, Body aches",Child,Male,Severe,General Physician
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Adult,Male,Mild,Pulmonologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning, Weight gain",Child,Male,Severe,Gynecologist
Eczema,Dermatological,"Itchy skin, Dryness",Child,Male,Moderate,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Child,Any,Moderate,Neurologist
Flu,Common Illnesses,"Body aches, Fever, Sore throat, Cough",Elderly,Any,Severe,General Physician
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion",Child,Any,Moderate,Neurologist
Flu,Common Illnesses,"Sore throat, Body aches, Cough, Chills",Teen,Any,Moderate,General Physician
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning, Irregular periods",Adult,Male,Moderate,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Confusion",Child,Female,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting",Child,Female,Severe,Surgeon
Eczema,Dermatological,"Swelling, Dryness, Itchy skin, Red patches",Teen,Any,Severe,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue",Child,Any,Severe,Endocrinologist
Flu,Common Illnesses,"Fever, Chills, Sore throat",Teen,Any,Moderate,General Physician
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Nausea",Child,Female,Severe,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings, Poor judgment",Teen,Any,Severe,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Confusion",Elderly,Female,Severe,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Elderly,Male,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning, Weight gain",Teen,Any,Moderate,Gynecologist
Flu,Common Illnesses,"Body aches, Cough, Chills",Elderly,Female,Severe,General Physician
Tuberculosis,Rare Diseases,"Weight loss, Cough",Teen,Male,Severe,Infectious Disease Specialist
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Adult,Any,Severe,Endocrinologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Fatigue, Blurred vision",Child,Any,Moderate,Endocrinologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath, Cough",Child,Female,Mild,Pulmonologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne, Irregular periods",Elderly,Any,Moderate,Gynecologist
Tuberculosis,Rare Diseases,"Fatigue, Night sweats, Cough",Teen,Any,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking",Adult,Any,Mild,Neurologist
Eczema,Dermatological,"Red patches, Itchy skin",Adult,Female,Moderate,Dermatologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst",Child,Male,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Fatigue",Elderly,Male,Severe,Endocrinologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Frequent urination",Child,Any,Mild,Endocrinologist
Asthma,Chronic Illness,"Chest tightness, Wheezing",Elderly,Male,Moderate,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Child,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision",Elderly,Male,Mild,Endocrinologist
Asthma,Chronic Illness,"Wheezing, Chest tightness",Child,Any,Moderate,Pulmonologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Adult,Any,Severe,Pulmonologist
PCOS,Chronic Disorder,"Hair thinning, Irregular periods",Adult,Male,Severe,Gynecologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Elderly,Male,Severe,Pulmonologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems, Confusion",Child,Any,Severe,Neurologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough",Child,Any,Moderate,Pulmonologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Chest pain",Teen,Any,Mild,Cardiologist
Asthma,Chronic Illness,"Shortness of breath, Chest tightness, Wheezing",Teen,Female,Mild,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Adult,Any,Moderate,Pulmonologist
PCOS,Chronic Disorder,"Acne, Hair thinning",Elderly,Male,Mild,Gynecologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning",Elderly,Female,Severe,Gynecologist
Flu,Common Illnesses,"Chills, Body aches, Cough",Adult,Male,Moderate,General Physician
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Elderly,Any,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Teen,Female,Severe,Neurologist
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue, Night sweats",Child,Any,Mild,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment",Adult,Any,Mild,Neurologist
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain",Adult,Female,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite",Child,Female,Moderate,Surgeon
PCOS,Chronic Disorder,"Hair thinning, Acne",Child,Male,Severe,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea",Adult,Any,Severe,Cardiologist
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Child,Any,Mild,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Sweating, Nausea",Adult,Female,Mild,Cardiologist
Asthma,Chronic Illness,"Shortness of breath, Chest tightness",Child,Any,Moderate,Pulmonologist
Flu,Common Illnesses,"Cough, Body aches, Sore throat",Adult,Any,Moderate,General Physician
Flu,Common Illnesses,"Fever, Cough",Adult,Male,Moderate,General Physician
PCOS,Chronic Disorder,"Acne, Irregular periods, Hair thinning",Child,Any,Moderate,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Confusion, Mood swings",Elderly,Any,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion, Poor judgment",Elderly,Male,Moderate,Neurologist
Flu,Common Illnesses,"Body aches, Sore throat",Elderly,Male,Moderate,General Physician
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst, Frequent urination",Child,Female,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning, Acne",Elderly,Male,Moderate,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Adult,Any,Mild,Cardiologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath",Teen,Any,Mild,Cardiologist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Loss of appetite",Elderly,Any,Mild,Surgeon
Tuberculosis,Rare Diseases,"Cough, Night sweats, Weight loss, Fatigue",Adult,Female,Moderate,Infectious Disease Specialist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Teen,Any,Severe,Endocrinologist
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness, Trouble walking",Elderly,Any,Severe,Neurologist
Eczema,Dermatological,"Swelling, Red patches",Child,Any,Mild,Dermatologist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Abdominal pain",Teen,Male,Moderate,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Mood swings",Adult,Female,Severe,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Child,Any,Mild,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning",Teen,Male,Mild,Gynecologist
PCOS,Chronic Disorder,"Weight gain, Acne",Adult,Female,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Vomiting, Nausea",Teen,Any,Mild,Surgeon
Tuberculosis,Rare Diseases,"Cough, Fatigue, Weight loss",Adult,Any,Moderate,Infectious Disease Specialist
Heart Attack,Emergency Care,"Chest pain, Nausea, Sweating, Shortness of breath",Elderly,Any,Severe,Cardiologist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting",Child,Any,Severe,Surgeon
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness, Shortness of breath",Adult,Female,Severe,Pulmonologist
Eczema,Dermatological,"Itchy skin, Swelling, Dryness, Red patches",Child,Male,Moderate,Dermatologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Child,Female,Moderate,Gynecologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Teen,Male,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Nausea, Sweating",Adult,Female,Moderate,Cardiologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue",Elderly,Male,Moderate,Infectious Disease Specialist
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain",Teen,Female,Moderate,Cardiologist
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Increased thirst, Blurred vision",Elderly,Any,Severe,Endocrinologist
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Teen,Male,Moderate,Dermatologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Frequent urination, Blurred vision",Child,Female,Moderate,Endocrinologist
Tuberculosis,Rare Diseases,"Cough, Weight loss, Fatigue, Night sweats",Adult,Any,Moderate,Infectious Disease Specialist
Diabetes,Chronic Illness,"Frequent urination, Fatigue, Increased thirst",Child,Male,Severe,Endocrinologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Acne",Adult,Any,Mild,Gynecologist
Eczema,Dermatological,"Red patches, Dryness, Itchy skin",Adult,Male,Moderate,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion, Memory loss",Elderly,Female,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue",Elderly,Female,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems",Teen,Male,Moderate,Neurologist
Eczema,Dermatological,"Itchy skin, Swelling, Red patches, Dryness",Elderly,Female,Moderate,Dermatologist
Heart Attack,Emergency Care,"Sweating, Chest pain, Nausea, Shortness of breath",Elderly,Any,Severe,Cardiologist
Asthma,Chronic Illness,"Shortness of breath, Cough",Teen,Male,Severe,Pulmonologist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Loss of appetite, Nausea",Adult,Male,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion, Numbness",Adult,Female,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Cough, Night sweats",Adult,Female,Mild,Infectious Disease Specialist
Flu,Common Illnesses,"Cough, Sore throat",Teen,Male,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems",Elderly,Female,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems",Elderly,Any,Mild,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Fatigue",Adult,Female,Moderate,Endocrinologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Child,Female,Severe,Surgeon
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Fatigue, Frequent urination",Adult,Male,Moderate,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss, Mood swings",Child,Any,Moderate,Neurologist
Heart Attack,Emergency Care,"Sweating, Nausea, Shortness of breath, Chest pain",Child,Female,Moderate,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion",Teen,Male,Moderate,Neurologist
Asthma,Chronic Illness,"Wheezing, Chest tightness, Cough, Shortness of breath",Child,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision",Teen,Male,Severe,Endocrinologist
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Teen,Female,Severe,Gynecologist
PCOS,Chronic Disorder,"Hair thinning, Acne, Irregular periods, Weight gain",Teen,Female,Mild,Gynecologist
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Loss of appetite, Abdominal pain",Elderly,Male,Moderate,Surgeon
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Nausea, Abdominal pain",Child,Male,Severe,Surgeon
Eczema,Dermatological,"Dryness, Itchy skin, Red patches",Adult,Female,Severe,Dermatologist
Flu,Common Illnesses,"Body aches, Fever",Teen,Male,Moderate,General Physician
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Nausea, Sweating",Child,Female,Mild,Cardiologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Numbness, Vision problems",Adult,Any,Mild,Neurologist
Eczema,Dermatological,"Itchy skin, Swelling, Dryness, Red patches",Elderly,Male,Severe,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Memory loss, Poor judgment",Teen,Any,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Vision problems",Elderly,Male,Moderate,Neurologist
Flu,Common Illnesses,"Chills, Body aches",Adult,Female,Mild,General Physician
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst",Adult,Female,Mild,Endocrinologist
Tuberculosis,Rare Diseases,"Weight loss, Cough, Night sweats",Adult,Any,Mild,Infectious Disease Specialist
PCOS,Chronic Disorder,"Acne, Hair thinning, Weight gain",Elderly,Female,Mild,Gynecologist
Tuberculosis,Rare Diseases,"Fatigue, Cough, Night sweats",Teen,Any,Mild,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Cough, Weight loss",Teen,Female,Moderate,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Nausea",Child,Male,Moderate,Surgeon
Eczema,Dermatological,"Swelling, Itchy skin, Red patches",Adult,Any,Mild,Dermatologist
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems",Adult,Any,Severe,Neurologist
Eczema,Dermatological,"Dryness, Swelling",Adult,Female,Moderate,Dermatologist
Heart Attack,Emergency Care,"Sweating, Chest pain, Nausea, Shortness of breath",Teen,Any,Moderate,Cardiologist
Eczema,Dermatological,"Swelling, Dryness, Red patches",Teen,Male,Severe,Dermatologist
Flu,Common Illnesses,"Body aches, Chills",Child,Any,Severe,General Physician
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Blurred vision, Fatigue",Teen,Male,Mild,Endocrinologist
PCOS,Chronic Disorder,"Acne, Irregular periods, Weight gain, Hair thinning",Adult,Any,Moderate,Gynecologist
Asthma,Chronic Illness,"Cough, Shortness of breath, Chest tightness, Wheezing",Teen,Female,Mild,Pulmonologist
Heart Attack,Emergency Care,"Sweating, Nausea",Teen,Male,Severe,Cardiologist
Diabetes,Chronic Illness,"Frequent urination, Fatigue, Increased thirst",Elderly,Male,Mild,Endocrinologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Hair thinning",Teen,Male,Severe,Gynecologist
Eczema,Dermatological,"Swelling, Red patches",Teen,Any,Moderate,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss, Confusion",Adult,Any,Severe,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Teen,Female,Severe,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning, Acne",Teen,Female,Moderate,Gynecologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne",Child,Any,Severe,Gynecologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue, Frequent urination",Elderly,Any,Severe,Endocrinologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough",Elderly,Male,Severe,Pulmonologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Adult,Female,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss",Elderly,Male,Moderate,Infectious Disease Specialist
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain, Sweating",Teen,Male,Moderate,Cardiologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea",Adult,Female,Severe,Surgeon
PCOS,Chronic Disorder,"Hair thinning, Acne, Irregular periods",Adult,Any,Mild,Gynecologist
Asthma,Chronic Illness,"Cough, Chest tightness, Wheezing",Adult,Male,Moderate,Pulmonologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Abdominal pain",Elderly,Male,Severe,Surgeon
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness, Shortness of breath",Elderly,Any,Mild,Pulmonologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Nausea, Vomiting",Child,Any,Mild,Surgeon
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Elderly,Female,Moderate,Surgeon
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Loss of appetite",Elderly,Male,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Teen,Female,Severe,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination, Increased thirst",Child,Male,Moderate,Endocrinologist
Eczema,Dermatological,"Swelling, Dryness",Teen,Female,Moderate,Dermatologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Teen,Female,Moderate,Surgeon
Heart Attack,Emergency Care,"Sweating, Chest pain, Shortness of breath, Nausea",Adult,Male,Moderate,Cardiologist
Eczema,Dermatological,"Itchy skin, Dryness, Swelling, Red patches",Child,Male,Severe,Dermatologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain",Elderly,Any,Mild,Gynecologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting",Teen,Female,Severe,Surgeon
PCOS,Chronic Disorder,"Irregular periods, Acne",Elderly,Female,Mild,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Memory loss",Child,Any,Moderate,Neurologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne, Irregular periods",Teen,Male,Moderate,Gynecologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Adult,Any,Mild,Pulmonologist
Flu,Common Illnesses,"Body aches, Fever",Child,Female,Moderate,General Physician
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss, Fatigue",Elderly,Male,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Child,Any,Severe,Dermatologist
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness",Elderly,Male,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting, Abdominal pain",Teen,Female,Moderate,Surgeon
Tuberculosis,Rare Diseases,"Night sweats, Cough, Fatigue",Adult,Any,Severe,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Cough, Fatigue",Adult,Any,Severe,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Fatigue, Cough, Night sweats",Child,Female,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Red patches, Itchy skin, Swelling",Teen,Any,Moderate,Dermatologist
PCOS,Chronic Disorder,"Acne, Hair thinning",Child,Any,Severe,Gynecologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Numbness",Elderly,Female,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Elderly,Female,Severe,Pulmonologist
Eczema,Dermatological,"Red patches, Dryness",Teen,Any,Mild,Dermatologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Numbness",Teen,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue",Adult,Any,Mild,Endocrinologist
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Child,Any,Severe,Pulmonologist
Eczema,Dermatological,"Dryness, Swelling, Itchy skin",Adult,Female,Mild,Dermatologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Teen,Any,Moderate,Cardiologist
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning",Child,Female,Moderate,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings, Memory loss, Poor judgment",Adult,Any,Moderate,Neurologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Increased thirst, Fatigue",Adult,Female,Severe,Endocrinologist
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness",Elderly,Any,Moderate,Pulmonologist
Flu,Common Illnesses,"Cough, Sore throat, Body aches",Child,Male,Severe,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Confusion",Teen,Female,Moderate,Neurologist
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Teen,Female,Moderate,Gynecologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Child,Any,Mild,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Cough, Shortness of breath",Teen,Female,Mild,Pulmonologist
Eczema,Dermatological,"Dryness, Swelling, Itchy skin",Teen,Female,Mild,Dermatologist
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness",Teen,Male,Moderate,Pulmonologist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking, Vision problems",Elderly,Male,Mild,Neurologist
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Loss of appetite, Abdominal pain",Elderly,Any,Moderate,Surgeon
Heart Attack,Emergency Care,"Nausea, Chest pain",Teen,Any,Moderate,Cardiologist
Flu,Common Illnesses,"Cough, Body aches, Sore throat, Chills",Child,Male,Moderate,General Physician
Eczema,Dermatological,"Red patches, Dryness",Adult,Any,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Teen,Male,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment, Memory loss, Mood swings",Elderly,Male,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Adult,Male,Moderate,Surgeon
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Cough",Elderly,Any,Moderate,Infectious Disease Specialist
Flu,Common Illnesses,"Cough, Chills",Child,Female,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Numbness",Child,Female,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Abdominal pain",Adult,Male,Mild,Surgeon
Diabetes,Chronic Illness,"Frequent urination, Fatigue, Increased thirst, Blurred vision",Elderly,Any,Moderate,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings",Elderly,Female,Moderate,Neurologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness, Cough",Adult,Male,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Confusion",Elderly,Any,Severe,Neurologist
PCOS,Chronic Disorder,"Weight gain, Hair thinning, Acne, Irregular periods",Child,Female,Severe,Gynecologist
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Chest pain, Nausea",Teen,Female,Severe,Cardiologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches, Swelling",Adult,Male,Severe,Dermatologist
Tuberculosis,Rare Diseases,"Cough, Night sweats, Fatigue",Child,Female,Severe,Infectious Disease Specialist
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning, Irregular periods",Child,Any,Moderate,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Adult,Any,Severe,Cardiologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Abdominal pain, Vomiting",Elderly,Any,Moderate,Surgeon
Diabetes,Chronic Illness,"Frequent urination, Increased thirst",Elderly,Male,Severe,Endocrinologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Teen,Male,Mild,Pulmonologist
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Teen,Female,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea, Sweating",Teen,Male,Mild,Cardiologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion, Numbness",Teen,Male,Mild,Neurologist
Flu,Common Illnesses,"Chills, Fever, Cough",Child,Female,Moderate,General Physician
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Sweating, Chest pain",Child,Female,Moderate,Cardiologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Teen,Any,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Abdominal pain, Vomiting",Elderly,Male,Moderate,Surgeon
Eczema,Dermatological,"Swelling, Dryness, Red patches, Itchy skin",Elderly,Any,Moderate,Dermatologist
Eczema,Dermatological,"Dryness, Itchy skin, Swelling, Red patches",Elderly,Male,Severe,Dermatologist
Flu,Common Illnesses,"Cough, Sore throat, Body aches, Fever",Adult,Any,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Adult,Any,Moderate,Neurologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Fatigue",Elderly,Female,Moderate,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings, Poor judgment",Adult,Female,Mild,Neurologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain, Vomiting",Child,Any,Mild,Surgeon
PCOS,Chronic Disorder,"Acne, Weight gain, Irregular periods",Adult,Female,Severe,Gynecologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Numbness",Teen,Female,Mild,Neurologist
Eczema,Dermatological,"Red patches, Swelling",Teen,Male,Mild,Dermatologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain",Teen,Any,Mild,Gynecologist
Asthma,Chronic Illness,"Chest tightness, Wheezing",Child,Female,Severe,Pulmonologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Adult,Male,Moderate,Surgeon
Flu,Common Illnesses,"Body aches, Cough, Sore throat, Chills",Elderly,Male,Moderate,General Physician
Flu,Common Illnesses,"Fever, Body aches, Chills, Sore throat",Adult,Any,Moderate,General Physician
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Cough",Teen,Any,Moderate,Infectious Disease Specialist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Adult,Any,Moderate,Endocrinologist
Flu,Common Illnesses,"Chills, Cough",Teen,Any,Severe,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Mood swings",Teen,Male,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion, Vision problems",Child,Any,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Vision problems, Trouble walking",Teen,Male,Mild,Neurologist
Heart Attack,Emergency Care,"Sweating, Chest pain",Adult,Any,Mild,Cardiologist
Asthma,Chronic Illness,"Cough, Wheezing, Shortness of breath",Elderly,Any,Moderate,Pulmonologist
Flu,Common Illnesses,"Chills, Sore throat",Elderly,Male,Moderate,General Physician
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Frequent urination, Increased thirst",Child,Any,Mild,Endocrinologist
